date,pm2_5_mean,pm2_5_max,pm2_5_min,pm2_5_std,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,pressure_msl,tavg,tmin,tmax,prcp,wspd,pres,fire_count,fire_brightness_avg,fire_frp_mean,fire_frp_max,fire_frp_total
2023-09-27,42.608333333333334,50.4,28.1,7.473019101591645,72.72083333333333,195,30.34166666666667,9.995833333333334,739.0416666666666,26.429166666666664,72.66666666666667,7.2749999999999995,297,1007.0583333333334,28.0,22.8,34.0,0.0,2.1,1007.6,12.0,335.9633333333333,5.949999999999999,21.08,71.39999999999999
2023-09-28,66.27083333333333,89.4,47.4,14.694556198948574,126.29583333333333,224,55.012499999999996,16.170833333333334,1270.125,27.291666666666668,64.95833333333333,4.041666666666667,90,1006.4041666666667,29.3,25.0,35.0,0.0,1.3,1006.6,15.0,333.522,4.076,6.67,61.14
2023-09-29,51.64166666666667,74.3,37.4,11.125799108248426,90.07916666666667,219,32.9625,13.512500000000001,811.0416666666666,26.9375,62.0,9.283333333333333,163,1006.6750000000001,28.4,25.0,34.5,0.0,1.1,1006.3,11.0,335.51272727272726,4.909090909090909,11.49,54.0
2023-09-30,46.2125,58.6,35.4,6.615680483583648,76.375,215,30.420833333333334,12.879166666666668,726.375,25.320833333333336,67.25,8.158333333333333,313,1007.275,27.9,23.5,33.5,0.0,2.4,1007.3,0.0,0.0,0.0,0.0,0.0
2023-10-01,40.18333333333333,56.6,26.5,8.671977191263654,63.1625,194,38.762499999999996,10.458333333333334,867.2916666666666,24.258333333333336,62.916666666666664,7.583333333333333,261,1006.275,26.9,23.0,34.6,0.0,2.0,1006.3,1.0,304.54,0.95,0.95,0.95
2023-10-02,57.27916666666667,93.4,22.5,21.647110042414575,88.27083333333333,211,64.0,15.304166666666667,1437.25,25.020833333333332,59.916666666666664,7.1375,160,1007.3958333333334,28.7,22.2,34.8,0.0,1.8,1006.7,73.0,335.49219178082194,3.2872602739726027,13.66,239.97
2023-10-03,54.237500000000004,61.7,39.3,7.305138899968031,93.27916666666665,206,33.38333333333333,11.8125,864.2083333333334,24.995833333333334,65.08333333333333,8.041666666666666,272,1007.7416666666667,27.5,21.8,33.6,0.0,2.3,1007.7,44.0,335.8354545454545,5.857272727272728,38.25,257.72
2023-10-04,62.270833333333336,74.5,41.6,9.811505188194674,108.22916666666667,214,36.2,13.554166666666667,934.9166666666666,25.254166666666666,62.416666666666664,6.7375,265,1007.6833333333334,27.6,21.8,34.5,0.0,1.2,1007.8,47.0,336.52085106382975,3.724255319148936,7.71,175.04
2023-10-05,65.92083333333333,75.7,45.9,8.93707369511319,112.65833333333335,237,44.7125,13.829166666666666,1080.4166666666667,25.554166666666664,60.916666666666664,6.9750000000000005,216,1006.2791666666667,28.5,21.2,35.0,0.0,1.9,1006.8,70.0,340.43514285714286,4.275285714285714,14.03,299.27
2023-10-06,73.7625,100.1,49.1,13.714473868080427,121.72083333333335,268,50.67916666666667,17.104166666666668,1275.75,25.8625,64.375,7.045833333333333,90,1005.225,28.8,22.4,35.5,0.0,1.0,1005.2,93.0,336.0801075268817,5.107096774193548,20.36,474.96
